weight_scenario,subdistrict_id,subdistrict_name,fpps_0_100,rank,action_class,confidence_class,weight_flood_likelihood_0_100,weight_exposure_0_100,weight_access_gap_0_100,weight_road_criticality_0_100,weight_vulnerability_context_0_100
default,FG-TB-005,Unverified Hillside,86.25,1,E,low,0.3,0.25,0.2,0.15,0.1
default,FG-TB-001,River Market,81.6,2,A,high,0.3,0.25,0.2,0.15,0.1
default,FG-TB-002,Bridge Junction,63.85,3,B,medium,0.3,0.25,0.2,0.15,0.1
default,FG-TB-003,Clinic Basin,60.55,4,C,medium,0.3,0.25,0.2,0.15,0.1
default,FG-TB-004,Canal Fringe,42.55,5,D,high,0.3,0.25,0.2,0.15,0.1
access_heavy,FG-TB-005,Unverified Hillside,85.96,1,E,low,0.26086956521739124,0.21739130434782605,0.3043478260869565,0.13043478260869562,0.08695652173913043
access_heavy,FG-TB-001,River Market,81.65,2,A,high,0.26086956521739124,0.21739130434782605,0.3043478260869565,0.13043478260869562,0.08695652173913043
access_heavy,FG-TB-002,Bridge Junction,63.61,3,B,medium,0.26086956521739124,0.21739130434782605,0.3043478260869565,0.13043478260869562,0.08695652173913043
access_heavy,FG-TB-003,Clinic Basin,59.83,4,C,medium,0.26086956521739124,0.21739130434782605,0.3043478260869565,0.13043478260869562,0.08695652173913043
access_heavy,FG-TB-004,Canal Fringe,40.65,5,D,high,0.26086956521739124,0.21739130434782605,0.3043478260869565,0.13043478260869562,0.08695652173913043
exposure_heavy,FG-TB-005,Unverified Hillside,86.48,1,E,low,0.2608695652173913,0.3478260869565218,0.1739130434782609,0.13043478260869565,0.08695652173913045
exposure_heavy,FG-TB-001,River Market,82.17,2,A,high,0.2608695652173913,0.3478260869565218,0.1739130434782609,0.13043478260869565,0.08695652173913045
exposure_heavy,FG-TB-002,Bridge Junction,61.78,3,B,medium,0.2608695652173913,0.3478260869565218,0.1739130434782609,0.13043478260869565,0.08695652173913045
exposure_heavy,FG-TB-003,Clinic Basin,61.39,4,C,medium,0.2608695652173913,0.3478260869565218,0.1739130434782609,0.13043478260869565,0.08695652173913045
exposure_heavy,FG-TB-004,Canal Fringe,42.48,5,D,high,0.2608695652173913,0.3478260869565218,0.1739130434782609,0.13043478260869565,0.08695652173913045
road_heavy,FG-TB-005,Unverified Hillside,85.3,1,E,low,0.26086956521739124,0.21739130434782605,0.17391304347826086,0.26086956521739124,0.08695652173913043
road_heavy,FG-TB-001,River Market,79.3,2,A,high,0.26086956521739124,0.21739130434782605,0.17391304347826086,0.26086956521739124,0.08695652173913043
road_heavy,FG-TB-002,Bridge Junction,67.39,3,B,medium,0.26086956521739124,0.21739130434782605,0.17391304347826086,0.26086956521739124,0.08695652173913043
road_heavy,FG-TB-003,Clinic Basin,58.39,4,C,medium,0.26086956521739124,0.21739130434782605,0.17391304347826086,0.26086956521739124,0.08695652173913043
road_heavy,FG-TB-004,Canal Fringe,41.57,5,D,high,0.26086956521739124,0.21739130434782605,0.17391304347826086,0.26086956521739124,0.08695652173913043
vulnerability_heavy,FG-TB-005,Unverified Hillside,85.43,1,E,low,0.2608695652173913,0.2173913043478261,0.1739130434782609,0.13043478260869565,0.2173913043478261
vulnerability_heavy,FG-TB-001,River Market,81.0,2,A,high,0.2608695652173913,0.2173913043478261,0.1739130434782609,0.13043478260869565,0.2173913043478261
vulnerability_heavy,FG-TB-002,Bridge Junction,61.39,3,B,medium,0.2608695652173913,0.2173913043478261,0.1739130434782609,0.13043478260869565,0.2173913043478261
vulnerability_heavy,FG-TB-003,Clinic Basin,60.22,4,C,medium,0.2608695652173913,0.2173913043478261,0.1739130434782609,0.13043478260869565,0.2173913043478261
vulnerability_heavy,FG-TB-004,Canal Fringe,43.52,5,D,high,0.2608695652173913,0.2173913043478261,0.1739130434782609,0.13043478260869565,0.2173913043478261
