node_id,subdistrict_id,total_population,vulnerable_population,non_vulnerable_population
N-99.9335973-20.4538233,TH570901,2.904,0.0,2.904
N-99.9316624-20.4514823,TH570901,14.028,0.0,14.028
N-99.9340237-20.4536483,TH570901,2.856,0.0,2.856
N-99.9319736-20.4512612,TH570901,7.247,0.0,7.247
N-99.9333685-20.4510229,TH570901,3.465,0.0,3.465
N-99.9325860-20.4510026,TH570901,1.698,0.0,1.698
N-99.9303062-20.4478738,TH570901,7.657,0.0,7.657
N-99.9329499-20.4508490,TH570901,1.668,0.0,1.668
N-99.9334863-20.4506480,TH570901,1.693,0.0,1.693
N-99.9342266-20.4506279,TH570901,1.58,0.0,1.58
N-99.9345699-20.4505675,TH570901,1.534,0.0,1.534
N-99.9297021-20.4477419,TH570901,3.08,0.0,3.08
N-99.9315508-20.4482596,TH570901,3.748,0.0,3.748
N-99.9321248-20.4486260,TH570901,1.666,0.0,1.666
N-99.9325996-20.4488145,TH570901,1.6,0.0,1.6
N-99.9331360-20.4487919,TH570901,1.537,0.0,1.537
N-99.9334499-20.4485808,TH570901,2.926,0.0,2.926
N-99.9362329-20.4495824,TH570901,2.926,0.0,2.926
N-99.9366835-20.4493009,TH570901,1.164,0.0,1.164
N-99.9290201-20.4475107,TH570901,3.259,0.0,3.259
N-99.9293400-20.4476508,TH570901,3.181,0.0,3.181
N-99.9309285-20.4479844,TH570901,2.111,0.0,2.111
N-99.9323662-20.4487366,TH570901,1.645,0.0,1.645
N-99.9337663-20.4478990,TH570901,11.743,0.0,11.743
N-99.9368981-20.4490898,TH570901,2.352,0.0,2.352
N-99.9087409-20.4475556,TH570901,12.36,0.0,12.36
N-99.9111244-20.4467881,TH570901,13.354,0.0,13.354
N-99.9120256-20.4463106,TH570901,4.648,0.0,4.648
N-99.9139903-20.4467946,TH570901,4.276,0.0,4.276
N-99.9141043-20.4468553,TH570901,11.087,0.0,11.087
N-99.9152738-20.4478236,TH570901,6.155,0.0,6.155
N-99.9285065-20.4471463,TH570901,4.617,0.0,4.617
N-99.9291100-20.4475685,TH570901,3.461,0.0,3.461
N-99.9299005-20.4477815,TH570901,3.427,0.0,3.427
N-99.9308085-20.4479612,TH570901,2.398,0.0,2.398
N-99.9313201-20.4481302,TH570901,1.781,0.0,1.781
N-99.9318150-20.4484148,TH570901,1.581,0.0,1.581
N-99.9377000-20.4475717,TH570901,3.434,0.0,3.434
N-99.9070575-20.4467124,TH570901,6.828,0.0,6.828
N-99.9075456-20.4464203,TH570901,6.745,0.0,6.745
N-99.9083965-20.4464777,TH570901,6.289,0.0,6.289
N-99.9088808-20.4463724,TH570901,6.003,0.0,6.003
N-99.9102057-20.4462585,TH570901,7.21,0.0,7.21
N-99.9109353-20.4464847,TH570901,8.083,0.0,8.083
N-99.9117655-20.4463910,TH570901,13.385,0.0,13.385
